Frequenz	U_in	U_out	Phi
1	97.24e-3	947.74e-3	179.62
10	97.61e-3	648.24e-3	179.83
100	97.49e-3	949.75e-3	180.09
300	97.74e-3	949.75e-3	180.77
900	98.24e-3	950.25e-3	179.53
2.7e3	99.25e-3	949.25e-3	177.43
8.1e3	101.26e-3	935.68e-3	172.98
24.3e3	103.64e-3	888.44e-3	159.33
36.45e3	109.45e-3	840.20e-3	157.11
72.9e3	112.94e-3	658.29e-3	132.69
100e3	110.55e-3	528.14e-3	120.96
112.5e3	110.95e-3	491.21e-3	118.96
125e3	110.15e-3	454.52e-3	115.25
137.5e3	112.96e-3	424.62e-3	112.19
150e3	111.96e-3	394.67e-3	112.35
162.5e3	114.77e-3	368.09e-3	110.55
175e3	110.95e-3	345.73e-3	105.23
187.5e3	110.95e-3	325.62e-3	104.72
200e3	113.77e-3	305.53e-3	103.43
218.7e3	112.56e-3	286.68e-3	103.87
656.1e3	112.56e-3	102.91e-3	73.00
