Frequenz	U_in	U_out_10	Phi_10	U_out_100	Phi_100
1	101.76e-3	988.44e-3	-0.440	10.065	-0.705
10	102.14e-3	980.90e-3	-0.933	10.070	-0.956
100	101.91e-3	988.44e-3	-0.244	10.075	-0.244
1e3	102.61e-3	980.90e-3	-2.382	9.9698	-9.948
2.5e3	104.32e-3	980.90e-3	-3.188	9.4925	-21.356
5e3	105.63e-3	986.43e-3	-2.636	8.1457	-35.684
6.25e3	105.83e-3	995.98e-3	-3.300	7.73719	-41.149
7.5e3	105.93e-3	980.90e-3	-5.559	6.6734	-48.180
8.75e3	105.13e-3	990.95e-3	-7.099	6.1206	-53.127
10e3	106.33e-3	988.44e-3	-8.320	5.5678	-57.366
25e3	108.14e-3	946.73e-3	-18.70	2.6055	-74.877
50e3	111.96e-3	825.63e-3	-29.820	1.3668	-77.020
62.5e3	112.16e-3	757.73e-3	-40.940	1.0573	-83.082
75e3	117.79e-3	694.47e-3	-46.930	888.44e-3	-84.048
87.5e3	113.77e-3	635.18e-3	-49.202	770.85e-3	-84.043
100e3	114.57e-3	586.93e-3	-55.78	675.38e-3	-86.840
125e3	114.77e-3	478.39e-3	-64.09	532.66e-3	-89.24
150e3	115.18e-3	450.25e-3	-67.004	454.27e-3	-88.597
175e3	115.18e-3	376.88e-3	-65.901	385.93e-3	-85.203
350e3	115.78e-3	198.99e-3	-88.214	198.99e-3	-95.924
500e3	112.56e-3	114.72e-3	-95.025	142.71e-3	-102.88
