  Frequency             P(V(N00173)/ V(V3:+)) V(U1:-)               V(U1:+)              
  1.000000000000e+000  -5.740510102203e-005  9.999632541824e-001  1.000000000000e+000  
  1.002305238078e+000  -5.753743344678e-005  9.999632541824e-001  1.000000000000e+000  
  1.004615790278e+000  -5.767007092926e-005  9.999632541824e-001  1.000000000000e+000  
  1.006931668852e+000  -5.780301417272e-005  9.999632541824e-001  1.000000000000e+000  
  1.009252886077e+000  -5.793626388201e-005  9.999632541824e-001  1.000000000000e+000  
  1.011579454260e+000  -5.806982076360e-005  9.999632541824e-001  1.000000000000e+000  
  1.013911385737e+000  -5.820368552560e-005  9.999632541824e-001  1.000000000000e+000  
  1.016248692871e+000  -5.833785887775e-005  9.999632541824e-001  1.000000000000e+000  
  1.018591388054e+000  -5.847234153142e-005  9.999632541824e-001  1.000000000000e+000  
  1.020939483708e+000  -5.860713419962e-005  9.999632541824e-001  1.000000000000e+000  
  1.023292992281e+000  -5.874223759702e-005  9.999632541824e-001  1.000000000000e+000  
  1.025651926251e+000  -5.887765243991e-005  9.999632541824e-001  1.000000000000e+000  
  1.028016298126e+000  -5.901337944625e-005  9.999632541824e-001  1.000000000000e+000  
  1.030386120442e+000  -5.914941933565e-005  9.999632541824e-001  1.000000000000e+000  
  1.032761405761e+000  -5.928577282939e-005  9.999632541824e-001  1.000000000000e+000  
  1.035142166679e+000  -5.942244065039e-005  9.999632541824e-001  1.000000000000e+000  
  1.037528415818e+000  -5.955942352326e-005  9.999632541824e-001  1.000000000000e+000  
  1.039920165829e+000  -5.969672217427e-005  9.999632541824e-001  1.000000000000e+000  
  1.042317429393e+000  -5.983433733135e-005  9.999632541824e-001  1.000000000000e+000  
  1.044720219221e+000  -5.997226972413e-005  9.999632541824e-001  1.000000000000e+000  
  1.047128548051e+000  -6.011052008392e-005  9.999632541824e-001  1.000000000000e+000  
  1.049542428652e+000  -6.024908914370e-005  9.999632541824e-001  1.000000000000e+000  
  1.051961873823e+000  -6.038797763815e-005  9.999632541824e-001  1.000000000000e+000  
  1.054386896391e+000  -6.052718630365e-005  9.999632541824e-001  1.000000000000e+000  
  1.056817509214e+000  -6.066671587826e-005  9.999632541824e-001  1.000000000000e+000  
  1.059253725177e+000  -6.080656710177e-005  9.999632541824e-001  1.000000000000e+000  
  1.061695557199e+000  -6.094674071564e-005  9.999632541824e-001  1.000000000000e+000  
  1.064143018224e+000  -6.108723746306e-005  9.999632541824e-001  1.000000000000e+000  
  1.066596121230e+000  -6.122805808893e-005  9.999632541824e-001  1.000000000000e+000  
  1.069054879223e+000  -6.136920333988e-005  9.999632541824e-001  1.000000000000e+000  
  1.071519305238e+000  -6.151067396423e-005  9.999632541824e-001  1.000000000000e+000  
  1.073989412341e+000  -6.165247071205e-005  9.999632541824e-001  1.000000000000e+000  
  1.076465213630e+000  -6.179459433513e-005  9.999632541824e-001  1.000000000000e+000  
  1.078946722230e+000  -6.193704558700e-005  9.999632541824e-001  1.000000000000e+000  
  1.081433951298e+000  -6.207982522292e-005  9.999632541824e-001  1.000000000000e+000  
  1.083926914021e+000  -6.222293399989e-005  9.999632541824e-001  1.000000000000e+000  
  1.086425623617e+000  -6.236637267667e-005  9.999632541824e-001  1.000000000000e+000  
  1.088930093333e+000  -6.251014201374e-005  9.999632541824e-001  1.000000000000e+000  
  1.091440336449e+000  -6.265424277337e-005  9.999632541824e-001  1.000000000000e+000  
  1.093956366272e+000  -6.279867571955e-005  9.999632541824e-001  1.000000000000e+000  
  1.096478196143e+000  -6.294344161806e-005  9.999632541824e-001  1.000000000000e+000  
  1.099005839433e+000  -6.308854123643e-005  9.999632541824e-001  1.000000000000e+000  
  1.101539309541e+000  -6.323397534397e-005  9.999632541824e-001  1.000000000000e+000  
  1.104078619902e+000  -6.337974471175e-005  9.999632541824e-001  1.000000000000e+000  
  1.106623783978e+000  -6.352585011263e-005  9.999632541824e-001  1.000000000000e+000  
  1.109174815262e+000  -6.367229232124e-005  9.999632541824e-001  1.000000000000e+000  
  1.111731727282e+000  -6.381907211400e-005  9.999632541824e-001  1.000000000000e+000  
  1.114294533592e+000  -6.396619026914e-005  9.999632541824e-001  1.000000000000e+000  
  1.116863247781e+000  -6.411364756664e-005  9.999632541824e-001  1.000000000000e+000  
  1.119437883467e+000  -6.426144478833e-005  9.999632541824e-001  1.000000000000e+000  
  1.122018454302e+000  -6.440958271779e-005  9.999632541824e-001  1.000000000000e+000  
  1.124604973967e+000  -6.455806214046e-005  9.999632541824e-001  1.000000000000e+000  
  1.127197456176e+000  -6.470688384354e-005  9.999632541824e-001  1.000000000000e+000  
  1.129795914673e+000  -6.485604861608e-005  9.999632541824e-001  1.000000000000e+000  
  1.132400363236e+000  -6.500555724893e-005  9.999632541824e-001  1.000000000000e+000  
  1.135010815672e+000  -6.515541053477e-005  9.999632541824e-001  1.000000000000e+000  
  1.137627285823e+000  -6.530560926812e-005  9.999632541824e-001  1.000000000000e+000  
  1.140249787561e+000  -6.545615424530e-005  9.999632541824e-001  1.000000000000e+000  
  1.142878334790e+000  -6.560704626450e-005  9.999632541824e-001  1.000000000000e+000  
  1.145512941446e+000  -6.575828612573e-005  9.999632541824e-001  1.000000000000e+000  
  1.148153621497e+000  -6.590987463085e-005  9.999632541824e-001  1.000000000000e+000  
  1.150800388944e+000  -6.606181258356e-005  9.999632541824e-001  1.000000000000e+000  
  1.153453257821e+000  -6.621410078942e-005  9.999632541824e-001  1.000000000000e+000  
  1.156112242192e+000  -6.636674005585e-005  9.999632541824e-001  1.000000000000e+000  
  1.158777356155e+000  -6.651973119213e-005  9.999632541824e-001  1.000000000000e+000  
  1.161448613840e+000  -6.667307500941e-005  9.999632541824e-001  1.000000000000e+000  
  1.164126029410e+000  -6.682677232069e-005  9.999632541824e-001  1.000000000000e+000  
  1.166809617061e+000  -6.698082394087e-005  9.999632541824e-001  1.000000000000e+000  
  1.169499391020e+000  -6.713523068671e-005  9.999632541824e-001  1.000000000000e+000  
  1.172195365548e+000  -6.728999337686e-005  9.999632541824e-001  1.000000000000e+000  
  1.174897554940e+000  -6.744511283185e-005  9.999632541824e-001  1.000000000000e+000  
  1.177605973521e+000  -6.760058987412e-005  9.999632541824e-001  1.000000000000e+000  
  1.180320635652e+000  -6.775642532798e-005  9.999632541824e-001  1.000000000000e+000  
  1.183041555725e+000  -6.791262001967e-005  9.999632541824e-001  1.000000000000e+000  
  1.185768748167e+000  -6.806917477731e-005  9.999632541824e-001  1.000000000000e+000  
  1.188502227437e+000  -6.822609043094e-005  9.999632541824e-001  1.000000000000e+000  
  1.191242008027e+000  -6.838336781251e-005  9.999632541824e-001  1.000000000000e+000  
  1.193988104464e+000  -6.854100775588e-005  9.999632541824e-001  1.000000000000e+000  
  1.196740531307e+000  -6.869901109686e-005  9.999632541824e-001  1.000000000000e+000  
  1.199499303149e+000  -6.885737867316e-005  9.999632541824e-001  1.000000000000e+000  
  1.202264434617e+000  -6.901611132442e-005  9.999632541824e-001  1.000000000000e+000  
  1.205035940372e+000  -6.917520989223e-005  9.999632541824e-001  1.000000000000e+000  
  1.207813835107e+000  -6.933467522012e-005  9.999632541824e-001  1.000000000000e+000  
  1.210598133550e+000  -6.949450815356e-005  9.999632541824e-001  1.000000000000e+000  
  1.213388850465e+000  -6.965470953996e-005  9.999632541824e-001  1.000000000000e+000  
  1.216186000646e+000  -6.981528022870e-005  9.999632541824e-001  1.000000000000e+000  
  1.218989598925e+000  -6.997622107110e-005  9.999632541824e-001  1.000000000000e+000  
  1.221799660165e+000  -7.013753292046e-005  9.999632541824e-001  1.000000000000e+000  
  1.224616199265e+000  -7.029921663204e-005  9.999632541824e-001  1.000000000000e+000  
  1.227439231158e+000  -7.046127306306e-005  9.999632541824e-001  1.000000000000e+000  
  1.230268770812e+000  -7.062370307275e-005  9.999632541824e-001  1.000000000000e+000  
  1.233104833229e+000  -7.078650752227e-005  9.999632541824e-001  1.000000000000e+000  
  1.235947433445e+000  -7.094968727481e-005  9.999632541824e-001  1.000000000000e+000  
  1.238796586530e+000  -7.111324319553e-005  9.999632541824e-001  1.000000000000e+000  
  1.241652307592e+000  -7.127717615159e-005  9.999632541824e-001  1.000000000000e+000  
  1.244514611771e+000  -7.144148701214e-005  9.999632541824e-001  1.000000000000e+000  
  1.247383514243e+000  -7.160617664834e-005  9.999632541824e-001  1.000000000000e+000  
  1.250259030218e+000  -7.177124593337e-005  9.999632541824e-001  1.000000000000e+000  
