f	U_in	U_a	Phase
1	95.85e-3	932.66e-3	181.04
10	88.37e-3	935.18e-3	177.33
100	97.74e-3	931.16e-3	177.77
200	98.49e-3	933.17e-3	174.57
400	98.12e-3	904.52e-3	164.48
800	97.49e-3	826.13e-3	149.25
1e3	101.26e-3	776.38e-3	147.00
1.2e3	101.88e-3	729.65e-3	140.80
1.4e3	102.51e-3	684.42e-3	137.63
1.6e3	102.26e-3	638.69e-3	129.84
1.8e3	108.29e-3	598.49e-3	134.95
2e3	105.65e-3	563.82e-3	126.22
2.5e3	101.51e-3	482.91e-3	120.11
5e3	112.19e-3	273.37e-3	105.51
10e3	105.78e-3	146.23e-3	96.53
15e3	099.4e-3	094.0e-3	94.923
20e3	111.93e-3	80.40e-3	94.685
