  Frequency             P(V(U1A:OUT) / V(R1:1)) V(U1A:OUT)            V(V1:+)              
  1.000000000000e+000  1.799417682458e+002  9.998884086610e+000  1.000000000000e+000  
  1.002305238078e+000  1.799416340139e+002  9.998884062825e+000  1.000000000000e+000  
  1.004615790278e+000  1.799414994726e+002  9.998884038930e+000  1.000000000000e+000  
  1.006931668852e+000  1.799413646212e+002  9.998884014925e+000  1.000000000000e+000  
  1.009252886077e+000  1.799412294589e+002  9.998883990809e+000  1.000000000000e+000  
  1.011579454260e+000  1.799410939851e+002  9.998883966582e+000  1.000000000000e+000  
  1.013911385737e+000  1.799409581989e+002  9.998883942243e+000  1.000000000000e+000  
  1.016248692871e+000  1.799408220997e+002  9.998883917792e+000  1.000000000000e+000  
  1.018591388054e+000  1.799406856868e+002  9.998883893228e+000  1.000000000000e+000  
  1.020939483708e+000  1.799405489594e+002  9.998883868550e+000  1.000000000000e+000  
  1.023292992281e+000  1.799404119169e+002  9.998883843759e+000  1.000000000000e+000  
  1.025651926251e+000  1.799402745584e+002  9.998883818853e+000  1.000000000000e+000  
  1.028016298126e+000  1.799401368832e+002  9.998883793832e+000  1.000000000000e+000  
  1.030386120442e+000  1.799399988907e+002  9.998883768696e+000  1.000000000000e+000  
  1.032761405761e+000  1.799398605801e+002  9.998883743444e+000  1.000000000000e+000  
  1.035142166679e+000  1.799397219507e+002  9.998883718075e+000  1.000000000000e+000  
  1.037528415818e+000  1.799395830016e+002  9.998883692589e+000  1.000000000000e+000  
  1.039920165829e+000  1.799394437323e+002  9.998883666985e+000  1.000000000000e+000  
  1.042317429393e+000  1.799393041419e+002  9.998883641263e+000  1.000000000000e+000  
  1.044720219221e+000  1.799391642298e+002  9.998883615423e+000  1.000000000000e+000  
  1.047128548051e+000  1.799390239951e+002  9.998883589463e+000  1.000000000000e+000  
  1.049542428652e+000  1.799388834371e+002  9.998883563383e+000  1.000000000000e+000  
  1.051961873823e+000  1.799387425551e+002  9.998883537183e+000  1.000000000000e+000  
  1.054386896391e+000  1.799386013483e+002  9.998883510862e+000  1.000000000000e+000  
  1.056817509214e+000  1.799384598161e+002  9.998883484420e+000  1.000000000000e+000  
  1.059253725177e+000  1.799383179575e+002  9.998883457855e+000  1.000000000000e+000  
  1.061695557199e+000  1.799381757720e+002  9.998883431168e+000  1.000000000000e+000  
  1.064143018224e+000  1.799380332587e+002  9.998883404358e+000  1.000000000000e+000  
  1.066596121230e+000  1.799378904168e+002  9.998883377424e+000  1.000000000000e+000  
  1.069054879223e+000  1.799377472457e+002  9.998883350366e+000  1.000000000000e+000  
  1.071519305238e+000  1.799376037445e+002  9.998883323182e+000  1.000000000000e+000  
  1.073989412341e+000  1.799374599125e+002  9.998883295874e+000  1.000000000000e+000  
  1.076465213630e+000  1.799373157490e+002  9.998883268439e+000  1.000000000000e+000  
  1.078946722230e+000  1.799371712531e+002  9.998883240877e+000  1.000000000000e+000  
  1.081433951298e+000  1.799370264241e+002  9.998883213189e+000  1.000000000000e+000  
  1.083926914021e+000  1.799368812613e+002  9.998883185372e+000  1.000000000000e+000  
  1.086425623617e+000  1.799367357638e+002  9.998883157427e+000  1.000000000000e+000  
  1.088930093333e+000  1.799365899309e+002  9.998883129354e+000  1.000000000000e+000  
  1.091440336449e+000  1.799364437619e+002  9.998883101150e+000  1.000000000000e+000  
  1.093956366272e+000  1.799362972559e+002  9.998883072817e+000  1.000000000000e+000  
  1.096478196143e+000  1.799361504121e+002  9.998883044352e+000  1.000000000000e+000  
  1.099005839433e+000  1.799360032299e+002  9.998883015757e+000  1.000000000000e+000  
  1.101539309541e+000  1.799358557083e+002  9.998882987029e+000  1.000000000000e+000  
  1.104078619902e+000  1.799357078467e+002  9.998882958168e+000  1.000000000000e+000  
  1.106623783978e+000  1.799355596443e+002  9.998882929175e+000  1.000000000000e+000  
  1.109174815262e+000  1.799354111002e+002  9.998882900048e+000  1.000000000000e+000  
  1.111731727282e+000  1.799352622136e+002  9.998882870786e+000  1.000000000000e+000  
  1.114294533592e+000  1.799351129839e+002  9.998882841389e+000  1.000000000000e+000  
  1.116863247781e+000  1.799349634101e+002  9.998882811856e+000  1.000000000000e+000  
  1.119437883467e+000  1.799348134915e+002  9.998882782187e+000  1.000000000000e+000  
  1.122018454302e+000  1.799346632274e+002  9.998882752381e+000  1.000000000000e+000  
  1.124604973967e+000  1.799345126168e+002  9.998882722438e+000  1.000000000000e+000  
  1.127197456176e+000  1.799343616591e+002  9.998882692356e+000  1.000000000000e+000  
  1.129795914673e+000  1.799342103533e+002  9.998882662136e+000  1.000000000000e+000  
  1.132400363236e+000  1.799340586988e+002  9.998882631776e+000  1.000000000000e+000  
  1.135010815672e+000  1.799339066947e+002  9.998882601276e+000  1.000000000000e+000  
  1.137627285823e+000  1.799337543401e+002  9.998882570635e+000  1.000000000000e+000  
  1.140249787561e+000  1.799336016344e+002  9.998882539853e+000  1.000000000000e+000  
  1.142878334790e+000  1.799334485766e+002  9.998882508928e+000  1.000000000000e+000  
  1.145512941446e+000  1.799332951660e+002  9.998882477861e+000  1.000000000000e+000  
  1.148153621497e+000  1.799331414017e+002  9.998882446651e+000  1.000000000000e+000  
  1.150800388944e+000  1.799329872830e+002  9.998882415296e+000  1.000000000000e+000  
  1.153453257821e+000  1.799328328090e+002  9.998882383797e+000  1.000000000000e+000  
  1.156112242192e+000  1.799326779789e+002  9.998882352152e+000  1.000000000000e+000  
  1.158777356155e+000  1.799325227919e+002  9.998882320361e+000  1.000000000000e+000  
  1.161448613840e+000  1.799323672472e+002  9.998882288424e+000  1.000000000000e+000  
  1.164126029410e+000  1.799322113438e+002  9.998882256339e+000  1.000000000000e+000  
  1.166809617061e+000  1.799320550811e+002  9.998882224106e+000  1.000000000000e+000  
  1.169499391020e+000  1.799318984582e+002  9.998882191724e+000  1.000000000000e+000  
  1.172195365548e+000  1.799317414742e+002  9.998882159192e+000  1.000000000000e+000  
  1.174897554940e+000  1.799315841283e+002  9.998882126511e+000  1.000000000000e+000  
  1.177605973521e+000  1.799314264197e+002  9.998882093679e+000  1.000000000000e+000  
  1.180320635652e+000  1.799312683476e+002  9.998882060695e+000  1.000000000000e+000  
  1.183041555725e+000  1.799311099110e+002  9.998882027559e+000  1.000000000000e+000  
  1.185768748167e+000  1.799309511093e+002  9.998881994270e+000  1.000000000000e+000  
  1.188502227437e+000  1.799307919414e+002  9.998881960827e+000  1.000000000000e+000  
  1.191242008027e+000  1.799306324067e+002  9.998881927230e+000  1.000000000000e+000  
  1.193988104464e+000  1.799304725041e+002  9.998881893478e+000  1.000000000000e+000  
  1.196740531307e+000  1.799303122330e+002  9.998881859570e+000  1.000000000000e+000  
  1.199499303149e+000  1.799301515924e+002  9.998881825505e+000  1.000000000000e+000  
  1.202264434617e+000  1.799299905815e+002  9.998881791284e+000  1.000000000000e+000  
  1.205035940372e+000  1.799298291994e+002  9.998881756904e+000  1.000000000000e+000  
  1.207813835107e+000  1.799296674453e+002  9.998881722366e+000  1.000000000000e+000  
  1.210598133550e+000  1.799295053183e+002  9.998881687668e+000  1.000000000000e+000  
  1.213388850465e+000  1.799293428175e+002  9.998881652810e+000  1.000000000000e+000  
  1.216186000646e+000  1.799291799422e+002  9.998881617791e+000  1.000000000000e+000  
  1.218989598925e+000  1.799290166914e+002  9.998881582611e+000  1.000000000000e+000  
  1.221799660165e+000  1.799288530643e+002  9.998881547268e+000  1.000000000000e+000  
  1.224616199265e+000  1.799286890599e+002  9.998881511762e+000  1.000000000000e+000  
  1.227439231158e+000  1.799285246776e+002  9.998881476092e+000  1.000000000000e+000  
  1.230268770812e+000  1.799283599162e+002  9.998881440258e+000  1.000000000000e+000  
  1.233104833229e+000  1.799281947751e+002  9.998881404258e+000  1.000000000000e+000  
  1.235947433445e+000  1.799280292532e+002  9.998881368092e+000  1.000000000000e+000  
  1.238796586530e+000  1.799278633498e+002  9.998881331759e+000  1.000000000000e+000  
  1.241652307592e+000  1.799276970640e+002  9.998881295258e+000  1.000000000000e+000  
  1.244514611771e+000  1.799275303948e+002  9.998881258589e+000  1.000000000000e+000  
  1.247383514243e+000  1.799273633414e+002  9.998881221750e+000  1.000000000000e+000  
  1.250259030218e+000  1.799271959029e+002  9.998881184742e+000  1.000000000000e+000  
  1.253141174941e+000  1.799270280785e+002  9.998881147563e+000  1.000000000000e+000  
  1.256029963695e+000  1.799268598671e+002  9.998881110212e+000  1.000000000000e+000  
  1.258925411794e+000  1.799266912680e+002  9.998881072688e+000  1.000000000000e+000  
  1.261827534591e+000  1.799265222803e+002  9.998881034992e+000  1.000000000000e+000  
  1.264736347471e+000  1.799263529029e+002  9.998880997121e+000  1.000000000000e+000  
  1.267651865858e+000  1.799261831352e+002  9.998880959076e+000  1.000000000000e+000  
  1.270574105209e+000  1.799260129760e+002  9.998880920855e+000  1.000000000000e+000  
  1.273503081017e+000  1.799258424247e+002  9.998880882458e+000  1.000000000000e+000  
  1.276438808811e+000  1.799256714801e+002  9.998880843883e+000  1.000000000000e+000  
  1.279381304158e+000  1.799255001415e+002  9.998880805131e+000  1.000000000000e+000  
  1.282330582656e+000  1.799253284079e+002  9.998880766199e+000  1.000000000000e+000  
  1.285286659944e+000  1.799251562784e+002  9.998880727088e+000  1.000000000000e+000  
  1.288249551693e+000  1.799249837522e+002  9.998880687796e+000  1.000000000000e+000  
  1.291219273614e+000  1.799248108282e+002  9.998880648323e+000  1.000000000000e+000  
  1.294195841450e+000  1.799246375056e+002  9.998880608668e+000  1.000000000000e+000  
  1.297179270984e+000  1.799244637834e+002  9.998880568829e+000  1.000000000000e+000  
  1.300169578033e+000  1.799242896608e+002  9.998880528807e+000  1.000000000000e+000  
  1.303166778452e+000  1.799241151368e+002  9.998880488600e+000  1.000000000000e+000  
  1.306170888132e+000  1.799239402104e+002  9.998880448208e+000  1.000000000000e+000  
  1.309181922999e+000  1.799237648808e+002  9.998880407629e+000  1.000000000000e+000  
  1.312199899019e+000  1.799235891471e+002  9.998880366862e+000  1.000000000000e+000  
  1.315224832192e+000  1.799234130082e+002  9.998880325908e+000  1.000000000000e+000  
  1.318256738556e+000  1.799232364633e+002  9.998880284764e+000  1.000000000000e+000  
  1.321295634187e+000  1.799230595114e+002  9.998880243431e+000  1.000000000000e+000  
  1.324341535195e+000  1.799228821516e+002  9.998880201907e+000  1.000000000000e+000  
  1.327394457730e+000  1.799227043829e+002  9.998880160191e+000  1.000000000000e+000  
  1.330454417978e+000  1.799225262045e+002  9.998880118283e+000  1.000000000000e+000  
  1.333521432163e+000  1.799223476153e+002  9.998880076181e+000  1.000000000000e+000  
  1.336595516546e+000  1.799221686144e+002  9.998880033885e+000  1.000000000000e+000  
  1.339676687426e+000  1.799219892009e+002  9.998879991393e+000  1.000000000000e+000  
  1.342764961138e+000  1.799218093738e+002  9.998879948706e+000  1.000000000000e+000  
  1.345860354056e+000  1.799216291321e+002  9.998879905821e+000  1.000000000000e+000  
  1.348962882592e+000  1.799214484750e+002  9.998879862739e+000  1.000000000000e+000  
  1.352072563194e+000  1.799212674014e+002  9.998879819457e+000  1.000000000000e+000  
  1.355189412351e+000  1.799210859103e+002  9.998879775976e+000  1.000000000000e+000  
  1.358313446587e+000  1.799209040009e+002  9.998879732294e+000  1.000000000000e+000  
  1.361444682466e+000  1.799207216722e+002  9.998879688411e+000  1.000000000000e+000  
  1.364583136589e+000  1.799205389231e+002  9.998879644325e+000  1.000000000000e+000  
  1.367728825596e+000  1.799203557528e+002  9.998879600035e+000  1.000000000000e+000  
  1.370881766165e+000  1.799201721602e+002  9.998879555541e+000  1.000000000000e+000  
  1.374041975013e+000  1.799199881444e+002  9.998879510842e+000  1.000000000000e+000  
  1.377209468894e+000  1.799198037044e+002  9.998879465936e+000  1.000000000000e+000  
  1.380384264603e+000  1.799196188392e+002  9.998879420823e+000  1.000000000000e+000  
  1.383566378972e+000  1.799194335479e+002  9.998879375502e+000  1.000000000000e+000  
  1.386755828872e+000  1.799192478294e+002  9.998879329972e+000  1.000000000000e+000  
  1.389952631213e+000  1.799190616828e+002  9.998879284231e+000  1.000000000000e+000  
  1.393156802945e+000  1.799188751071e+002  9.998879238280e+000  1.000000000000e+000  
  1.396368361056e+000  1.799186881013e+002  9.998879192116e+000  1.000000000000e+000  
  1.399587322573e+000  1.799185006644e+002  9.998879145739e+000  1.000000000000e+000  
  1.402813704562e+000  1.799183127954e+002  9.998879099148e+000  1.000000000000e+000  
  1.406047524130e+000  1.799181244933e+002  9.998879052342e+000  1.000000000000e+000  
  1.409288798422e+000  1.799179357571e+002  9.998879005320e+000  1.000000000000e+000  
  1.412537544623e+000  1.799177465859e+002  9.998878958081e+000  1.000000000000e+000  
  1.415793779957e+000  1.799175569786e+002  9.998878910624e+000  1.000000000000e+000  
  1.419057521689e+000  1.799173669342e+002  9.998878862948e+000  1.000000000000e+000  
  1.422328787123e+000  1.799171764517e+002  9.998878815052e+000  1.000000000000e+000  
  1.425607593602e+000  1.799169855301e+002  9.998878766935e+000  1.000000000000e+000  
  1.428893958511e+000  1.799167941684e+002  9.998878718595e+000  1.000000000000e+000  
  1.432187899274e+000  1.799166023655e+002  9.998878670033e+000  1.000000000000e+000  
  1.435489433354e+000  1.799164101205e+002  9.998878621246e+000  1.000000000000e+000  
  1.438798578256e+000  1.799162174324e+002  9.998878572234e+000  1.000000000000e+000  
  1.442115351525e+000  1.799160243000e+002  9.998878522996e+000  1.000000000000e+000  
  1.445439770746e+000  1.799158307224e+002  9.998878473531e+000  1.000000000000e+000  
  1.448771853545e+000  1.799156366986e+002  9.998878423837e+000  1.000000000000e+000  
  1.452111617588e+000  1.799154422275e+002  9.998878373914e+000  1.000000000000e+000  
