  Time                  V(R3:1)               V(V5:+)               V(U1:OUT)            
  0.000000000000e+000  1.000000000000e-001  2.000000000000e-001  -2.998477753531e+000  
  2.500000000000e-007  1.003141591362e-001  2.007853900889e-001  -2.999040990212e+000  
  3.596725463867e-007  1.004519774671e-001  2.011299205848e-001  -2.999385088370e+000  
  5.790176391602e-007  1.007276134195e-001  2.018189372463e-001  -3.000405709771e+000  
  1.017707824707e-006  1.012788806549e-001  2.031966787405e-001  -3.004045734596e+000  
  1.824707031250e-006  1.022929442481e-001  2.057293470950e-001  -3.015620488905e+000  
  3.438705444336e-006  1.043208685082e-001  2.107820112504e-001  -3.052915949201e+000  
  6.666702270508e-006  1.083751754477e-001  2.207912784903e-001  -3.160362370788e+000  
  1.068510437012e-005  1.134172136008e-001  2.329413609781e-001  -3.321255567912e+000  
  1.622404479980e-005  1.203524444825e-001  2.487909640079e-001  -3.550976247395e+000  
  2.322096252441e-005  1.290769039653e-001  2.666502967833e-001  -3.827921861878e+000  
  3.593305969238e-005  1.447721713445e-001  2.903929641941e-001  -4.252849613873e+000  
  5.752119445801e-005  1.707198825034e-001  2.972214266774e-001  -4.651151962767e+000  
  8.252119445801e-005  1.991148677149e-001  2.521930723992e-001  -4.562435369015e+000  
  1.075211944580e-004  2.250693159400e-001  1.765907241715e-001  -4.091103951115e+000  
  1.325211944580e-004  2.479441425253e-001  1.147012122388e-001  -3.663623442165e+000  
  1.575211944580e-004  2.671760933232e-001  1.027785733226e-001  -3.659680190929e+000  
  1.825211944580e-004  2.822916138778e-001  1.478069276008e-001  -4.193278134314e+000  
  2.075211944580e-004  2.929185099076e-001  2.234092758285e-001  -5.039343354360e+000  
  2.325211944580e-004  2.987951119636e-001  2.852987877612e-001  -5.765820372386e+000  
  2.575211944580e-004  2.997767185999e-001  2.972214266774e-001  -5.983449169964e+000  
  2.825211944580e-004  2.958391594034e-001  2.521930723992e-001  -5.574132280290e+000  
  3.075211944580e-004  2.870793901495e-001  1.765907241715e-001  -4.759293482993e+000  
  3.325211944580e-004  2.737131054292e-001  1.147012122388e-001  -3.970588333309e+000  
  3.575211944580e-004  2.560694275325e-001  1.027785733226e-001  -3.598524523702e+000  
  3.825211944580e-004  2.345828023652e-001  1.478069276008e-001  -3.765231900336e+000  
  4.075211944580e-004  2.097823019489e-001  2.234092758285e-001  -4.255169245010e+000  
  4.325211944580e-004  1.822785969121e-001  2.852987877612e-001  -4.644577840495e+000  
  4.575211944580e-004  1.527489197523e-001  2.972214266774e-001  -4.552856270468e+000  
  4.825211944580e-004  1.219203891246e-001  2.521930723992e-001  -3.869487138621e+000  
  5.075211944580e-004  9.055210576704e-002  1.765907241715e-001  -2.822564458228e+000  
  5.325211944580e-004  5.941646092126e-002  1.147012122388e-001  -1.849339182215e+000  
  5.575211944580e-004  2.928011749663e-002  1.027785733226e-001  -1.345005249064e+000  
  5.825211944580e-004  8.851322850753e-004  1.478069276008e-001  -1.434986607314e+000  
  6.075211944580e-004  -2.506931593995e-002  2.234092758285e-001  -1.905577790720e+000  
  6.325211944580e-004  -4.794414252528e-002  2.852987877612e-001  -2.333490596692e+000  
  6.575211944580e-004  -6.717609332317e-002  2.972214266774e-001  -2.337182536409e+000  
  6.825211944580e-004  -8.229161387780e-002  2.521930723992e-001  -1.803729508721e+000  
  7.075211944580e-004  -9.291850990758e-002  1.765907241715e-001  -9.575782139578e-001  
  7.325211944580e-004  -9.879511196361e-002  1.147012122388e-001  -2.311515533765e-001  
  7.497178497314e-004  -9.999968571724e-002  1.000039285098e-001  -1.750419603446e-002  
  7.683946075439e-004  -9.866568829956e-002  1.162379407855e-001  -1.186277151377e-001  
  7.913346710205e-004  -9.329272366761e-002  1.731120656223e-001  -6.857523061725e-001  
  8.142289581299e-004  -8.393357410367e-002  2.432276580218e-001  -1.471360675920e+000  
  8.392289581299e-004  -6.938277460968e-002  2.943292927033e-001  -2.178096255727e+000  
  8.642289581299e-004  -5.066120905560e-002  2.901741070483e-001  -2.403467304094e+000  
  8.892289581299e-004  -2.822986451868e-002  2.331961524593e-001  -2.116256621349e+000  
  9.142289581299e-004  -2.641075146797e-003  1.567723419782e-001  -1.608690668140e+000  
  9.392289581299e-004  2.547507814140e-002  1.056707072967e-001  -1.318978468864e+000  
  9.642289581299e-004  5.542628233979e-002  1.098258929517e-001  -1.573145421054e+000  
  9.892289581299e-004  8.647503939867e-002  1.668038475407e-001  -2.388873274490e+000  
  1.014228958130e-003  1.178568258743e-001  2.432276580218e-001  -3.449621400891e+000  
  1.039228958130e-003  1.487989180335e-001  2.943292927033e-001  -4.347602006627e+000  
  1.064228958130e-003  1.785394188764e-001  2.901741070483e-001  -4.678766618862e+000  
  1.088594192505e-003  2.056696167444e-001  2.350705185860e-001  -4.470507813252e+000  
  1.113594192505e-003  2.309320921450e-001  1.585790472771e-001  -3.978714066702e+000  
  1.138594192505e-003  2.529705848982e-001  1.063514083069e-001  -3.606253420795e+000  
  1.163594192505e-003  2.712424341710e-001  1.089818442533e-001  -3.747464288327e+000  
  1.187681716919e-003  2.848631726541e-001  1.622597023326e-001  -4.352868587517e+000  
  1.212681716919e-003  2.945271650740e-001  2.387951416261e-001  -5.201866195424e+000  
  1.237681716919e-003  2.994012530911e-001  2.926049131093e-001  -5.868641386879e+000  
  1.262681716919e-003  2.993654204823e-001  2.921679824354e-001  -5.943510145742e+000  
  1.287376541138e-003  2.945101429750e-001  2.386263880606e-001  -5.438078934057e+000  
  1.312376541138e-003  2.848352215522e-001  1.620902772706e-001  -4.602275007414e+000  
  1.337376541138e-003  2.706090435419e-001  1.077611679097e-001  -3.849781052690e+000  
  1.362376541138e-003  2.521819046605e-001  1.074643154098e-001  -3.595259965654e+000  
  1.386537307739e-003  2.308071326317e-001  1.589554140571e-001  -3.829744454589e+000  
  1.411537307739e-003  2.055292804678e-001  2.354570994648e-001  -4.324317809935e+000  
  1.436537307739e-003  1.776529471872e-001  2.911884968885e-001  -4.676286205777e+000  
  1.461537307739e-003  1.478645406314e-001  2.935029095672e-001  -4.476750333159e+000  
  1.486399978638e-003  1.170694997278e-001  2.414376191780e-001  -3.723514678607e+000  
  1.511399978638e-003  8.568661104354e-002  1.649466308343e-001  -2.667543600949e+000  
  1.536399978638e-003  5.465616549877e-002  1.089894307410e-001  -1.725875947119e+000  
  1.561399978638e-003  2.474223564697e-002  1.063449878003e-001  -1.325947006751e+000  
  1.586003250122e-003  -2.891409065667e-003  1.574313098560e-001  -1.483818576665e+000  
  1.611003250122e-003  -2.845366113755e-002  2.338833987671e-001  -1.966039771916e+000  
  1.636003250122e-003  -5.085295775897e-002  2.904870522198e-001  -2.372636556347e+000  
  1.661003250122e-003  -6.953775390810e-002  2.940846177012e-001  -2.289244762297e+000  
  1.685600418091e-003  -8.384926938701e-002  2.437103953186e-001  -1.710955135778e+000  
  1.710600418091e-003  -9.390289170667e-002  1.673099557243e-001  -8.644894266809e-001  
  1.735600418091e-003  -9.918198130571e-002  1.100589007122e-001  -1.641214043213e-001  
  1.750087112427e-003  -9.999997004151e-002  1.000003744809e-001  -1.218440708012e-002  
  1.766224807739e-003  -9.896165253625e-002  1.127117552700e-001  -8.981603424735e-002  
  1.791224807739e-003  -9.332813146967e-002  1.727797911374e-001  -6.801008495896e-001  
  1.815361160278e-003  -8.337020816584e-002  2.464070585361e-001  -1.510251842667e+000  
  1.840361160278e-003  -6.862196693516e-002  2.954501388077e-001  -2.200031488813e+000  
  1.865361160278e-003  -4.972169325430e-002  2.885798222962e-001  -2.400510038795e+000  
  1.890361160278e-003  -2.713477458772e-002  2.298206472362e-001  -2.094826463211e+000  
  1.915361160278e-003  -1.417375834660e-003  1.535929414639e-001  -1.587639739457e+000  
  1.940361160278e-003  2.679725529642e-002  1.045498611923e-001  -1.317262703787e+000  
  1.965361160278e-003  5.681438094809e-002  1.114201777038e-001  -1.599206967331e+000  
  1.990361160278e-003  8.789487986566e-002  1.701793527638e-001  -2.435141175817e+000  
  2.015361160278e-003  1.192734470155e-001  2.464070585361e-001  -3.496776657226e+000  
  2.040361160278e-003  1.501774379350e-001  2.954501388077e-001  -4.376375752707e+000  
  2.065361160278e-003  1.798458938031e-001  2.885798222962e-001  -4.679628991484e+000  
  2.089518875122e-003  2.066543899906e-001  2.323356352108e-001  -4.454463482590e+000  
  2.114518875122e-003  2.318082527482e-001  1.559528395626e-001  -3.960417991165e+000  
  2.139518875122e-003  2.537165588768e-001  1.053722731145e-001  -3.601150186471e+000  
