  Frequency             DB(V(U1A:OUT))       
  1.000000000000e+000  -2.843947655111e-003  
  1.002305238078e+000  -2.843947655121e-003  
  1.004615790278e+000  -2.843947655137e-003  
  1.006931668852e+000  -2.843947655150e-003  
  1.009252886077e+000  -2.843947655163e-003  
  1.011579454260e+000  -2.843947655172e-003  
  1.013911385737e+000  -2.843947655189e-003  
  1.016248692871e+000  -2.843947655200e-003  
  1.018591388054e+000  -2.843947655213e-003  
  1.020939483708e+000  -2.843947655227e-003  
  1.023292992281e+000  -2.843947655241e-003  
  1.025651926251e+000  -2.843947655252e-003  
  1.028016298126e+000  -2.843947655265e-003  
  1.030386120442e+000  -2.843947655277e-003  
  1.032761405761e+000  -2.843947655293e-003  
  1.035142166679e+000  -2.843947655304e-003  
  1.037528415818e+000  -2.843947655315e-003  
  1.039920165829e+000  -2.843947655333e-003  
  1.042317429393e+000  -2.843947655342e-003  
  1.044720219221e+000  -2.843947655356e-003  
  1.047128548051e+000  -2.843947655373e-003  
  1.049542428652e+000  -2.843947655385e-003  
  1.051961873823e+000  -2.843947655400e-003  
  1.054386896391e+000  -2.843947655412e-003  
  1.056817509214e+000  -2.843947655425e-003  
  1.059253725177e+000  -2.843947655439e-003  
  1.061695557199e+000  -2.843947655451e-003  
  1.064143018224e+000  -2.843947655466e-003  
  1.066596121230e+000  -2.843947655481e-003  
  1.069054879223e+000  -2.843947655496e-003  
  1.071519305238e+000  -2.843947655506e-003  
  1.073989412341e+000  -2.843947655521e-003  
  1.076465213630e+000  -2.843947655535e-003  
  1.078946722230e+000  -2.843947655551e-003  
  1.081433951298e+000  -2.843947655566e-003  
  1.083926914021e+000  -2.843947655583e-003  
  1.086425623617e+000  -2.843947655595e-003  
  1.088930093333e+000  -2.843947655614e-003  
  1.091440336449e+000  -2.843947655631e-003  
  1.093956366272e+000  -2.843947655641e-003  
  1.096478196143e+000  -2.843947655655e-003  
  1.099005839433e+000  -2.843947655668e-003  
  1.101539309541e+000  -2.843947655684e-003  
  1.104078619902e+000  -2.843947655694e-003  
  1.106623783978e+000  -2.843947655713e-003  
  1.109174815262e+000  -2.843947655725e-003  
  1.111731727282e+000  -2.843947655745e-003  
  1.114294533592e+000  -2.843947655761e-003  
  1.116863247781e+000  -2.843947655773e-003  
  1.119437883467e+000  -2.843947655790e-003  
  1.122018454302e+000  -2.843947655806e-003  
  1.124604973967e+000  -2.843947655821e-003  
  1.127197456176e+000  -2.843947655836e-003  
  1.129795914673e+000  -2.843947655853e-003  
  1.132400363236e+000  -2.843947655868e-003  
  1.135010815672e+000  -2.843947655878e-003  
  1.137627285823e+000  -2.843947655897e-003  
  1.140249787561e+000  -2.843947655914e-003  
  1.142878334790e+000  -2.843947655935e-003  
  1.145512941446e+000  -2.843947655948e-003  
  1.148153621497e+000  -2.843947655963e-003  
  1.150800388944e+000  -2.843947655978e-003  
  1.153453257821e+000  -2.843947655994e-003  
  1.156112242192e+000  -2.843947656011e-003  
  1.158777356155e+000  -2.843947656027e-003  
  1.161448613840e+000  -2.843947656042e-003  
  1.164126029410e+000  -2.843947656057e-003  
  1.166809617061e+000  -2.843947656078e-003  
  1.169499391020e+000  -2.843947656090e-003  
  1.172195365548e+000  -2.843947656111e-003  
  1.174897554940e+000  -2.843947656131e-003  
  1.177605973521e+000  -2.843947656147e-003  
  1.180320635652e+000  -2.843947656164e-003  
  1.183041555725e+000  -2.843947656184e-003  
  1.185768748167e+000  -2.843947656199e-003  
  1.188502227437e+000  -2.843947656214e-003  
  1.191242008027e+000  -2.843947656232e-003  
  1.193988104464e+000  -2.843947656247e-003  
  1.196740531307e+000  -2.843947656264e-003  
  1.199499303149e+000  -2.843947656287e-003  
  1.202264434617e+000  -2.843947656303e-003  
  1.205035940372e+000  -2.843947656319e-003  
  1.207813835107e+000  -2.843947656336e-003  
  1.210598133550e+000  -2.843947656354e-003  
  1.213388850465e+000  -2.843947656373e-003  
  1.216186000646e+000  -2.843947656391e-003  
  1.218989598925e+000  -2.843947656410e-003  
  1.221799660165e+000  -2.843947656427e-003  
  1.224616199265e+000  -2.843947656441e-003  
  1.227439231158e+000  -2.843947656464e-003  
  1.230268770812e+000  -2.843947656485e-003  
  1.233104833229e+000  -2.843947656506e-003  
  1.235947433445e+000  -2.843947656519e-003  
  1.238796586530e+000  -2.843947656539e-003  
  1.241652307592e+000  -2.843947656562e-003  
  1.244514611771e+000  -2.843947656573e-003  
  1.247383514243e+000  -2.843947656591e-003  
  1.250259030218e+000  -2.843947656614e-003  
  1.253141174941e+000  -2.843947656632e-003  
  1.256029963695e+000  -2.843947656648e-003  
  1.258925411794e+000  -2.843947656672e-003  
  1.261827534591e+000  -2.843947656693e-003  
  1.264736347471e+000  -2.843947656712e-003  
  1.267651865858e+000  -2.843947656732e-003  
  1.270574105209e+000  -2.843947656755e-003  
  1.273503081017e+000  -2.843947656777e-003  
  1.276438808811e+000  -2.843947656793e-003  
  1.279381304158e+000  -2.843947656810e-003  
  1.282330582656e+000  -2.843947656834e-003  
  1.285286659944e+000  -2.843947656849e-003  
  1.288249551693e+000  -2.843947656873e-003  
  1.291219273614e+000  -2.843947656887e-003  
  1.294195841450e+000  -2.843947656907e-003  
  1.297179270984e+000  -2.843947656937e-003  
  1.300169578033e+000  -2.843947656955e-003  
  1.303166778452e+000  -2.843947656977e-003  
  1.306170888132e+000  -2.843947656994e-003  
  1.309181922999e+000  -2.843947657018e-003  
  1.312199899019e+000  -2.843947657040e-003  
  1.315224832192e+000  -2.843947657062e-003  
  1.318256738556e+000  -2.843947657079e-003  
  1.321295634187e+000  -2.843947657102e-003  
  1.324341535195e+000  -2.843947657122e-003  
  1.327394457730e+000  -2.843947657141e-003  
  1.330454417978e+000  -2.843947657164e-003  
  1.333521432163e+000  -2.843947657185e-003  
  1.336595516546e+000  -2.843947657207e-003  
  1.339676687426e+000  -2.843947657233e-003  
  1.342764961138e+000  -2.843947657258e-003  
  1.345860354056e+000  -2.843947657283e-003  
  1.348962882592e+000  -2.843947657303e-003  
  1.352072563194e+000  -2.843947657322e-003  
  1.355189412351e+000  -2.843947657342e-003  
  1.358313446587e+000  -2.843947657367e-003  
  1.361444682466e+000  -2.843947657386e-003  
  1.364583136589e+000  -2.843947657415e-003  
  1.367728825596e+000  -2.843947657434e-003  
  1.370881766165e+000  -2.843947657461e-003  
  1.374041975013e+000  -2.843947657483e-003  
  1.377209468894e+000  -2.843947657503e-003  
  1.380384264603e+000  -2.843947657527e-003  
  1.383566378972e+000  -2.843947657553e-003  
  1.386755828872e+000  -2.843947657575e-003  
  1.389952631213e+000  -2.843947657601e-003  
  1.393156802945e+000  -2.843947657630e-003  
  1.396368361056e+000  -2.843947657647e-003  
  1.399587322573e+000  -2.843947657669e-003  
  1.402813704562e+000  -2.843947657696e-003  
  1.406047524130e+000  -2.843947657717e-003  
  1.409288798422e+000  -2.843947657739e-003  
