f	Uin	Uout
1	51.457e-3	221.11e-3
2	51.960e-3	713.07e-3
4	51.357e-3	1.9812
8	51.558e-3	3.5377
16	51.055e-3	4.5176
32	51.357e-3	4.8015
64	51.558e-3	4.8894
1e3	51.960e-3	4.9598
2e3	050.4e-3	4.917
4e3	050.6e-3	4.915
8e3	050.5e-3	4.864
10e3	050.6e-3	4.864
20e3	050.8e-3	4.824
40e3	051.2e-3	4.545
60e3	051.6e-3	4.239
65e3	051.4e-3	4.131
70e3	051.5e-3	4.043
75e3	051.7e-3	3.940
80e3	051.4e-3	3.839
85e3	051.3e-3	3.751
90e3	051.8e-3	3.658
95e3	051.4e-3	3.565
100e3	051.4e-3	3.480
110e3	051.5e-3	3.307
120e3	051.7e-3	3.151
130e3	051.6e-3	3.003
150e3	052.0e-3	2.729
200e3	052.3e-3	2.209
250e3	052.3e-3	1.829
500e3	052.3e-3	965e-3
