x-axis,1,2,REF1
second,Volt,Volt,Volt
-1.0000000E-03,-12.6884421E-03,+63.6934667E-03,+0.0E+00
-999.8750E-06,-12.9396984E-03,+63.3165822E-03,+0.0E+00
-999.7500E-06,-13.3165828E-03,+61.5577883E-03,+0.0E+00
-999.6250E-06,-12.5628139E-03,+63.0653260E-03,+0.0E+00
-999.5000E-06,-12.4371858E-03,+62.5628134E-03,+0.0E+00
-999.3750E-06,-12.4371858E-03,+63.8190948E-03,+0.0E+00
-999.2500E-06,-12.4371858E-03,+63.1909541E-03,+0.0E+00
-999.1250E-06,-11.8090451E-03,+62.9396978E-03,+0.0E+00
-999.0000E-06,-12.8140702E-03,+63.4422104E-03,+0.0E+00
-998.8750E-06,-12.1859295E-03,+63.3165822E-03,+0.0E+00
-998.7500E-06,-12.3115577E-03,+62.6884415E-03,+0.0E+00
-998.6250E-06,-12.1859295E-03,+62.6884415E-03,+0.0E+00
-998.5000E-06,-12.3115577E-03,+63.0653260E-03,+0.0E+00
-998.3750E-06,-11.9346732E-03,+63.6934667E-03,+0.0E+00
-998.2500E-06,-12.4371858E-03,+62.6884415E-03,+0.0E+00
-998.1250E-06,-12.1859295E-03,+63.0653260E-03,+0.0E+00
-998.0000E-06,-11.8090451E-03,+62.4371853E-03,+0.0E+00
-997.8750E-06,-11.9346732E-03,+64.3216074E-03,+0.0E+00
-997.7500E-06,-11.6834170E-03,+63.9447229E-03,+0.0E+00
-997.6250E-06,-11.9346732E-03,+63.3165822E-03,+0.0E+00
-997.5000E-06,-12.4371858E-03,+63.5678385E-03,+0.0E+00
-997.3750E-06,-11.5577888E-03,+63.8190948E-03,+0.0E+00
-997.2500E-06,-11.4321607E-03,+64.0703511E-03,+0.0E+00
-997.1250E-06,-11.4321607E-03,+62.6884415E-03,+0.0E+00
-997.0000E-06,-11.5577888E-03,+62.0603008E-03,+0.0E+00
-996.8750E-06,-11.5577888E-03,+62.8140697E-03,+0.0E+00
-996.7500E-06,-10.3015074E-03,+63.5678385E-03,+0.0E+00
-996.6250E-06,-10.0502511E-03,+64.6984918E-03,+0.0E+00
-996.5000E-06,-10.4271356E-03,+64.0703511E-03,+0.0E+00
-996.3750E-06,-10.9296481E-03,+61.9346727E-03,+0.0E+00
-996.2500E-06,-10.8040200E-03,+62.3115571E-03,+0.0E+00
-996.1250E-06,-11.0552763E-03,+62.8140697E-03,+0.0E+00
-996.0000E-06,-10.6783918E-03,+63.4422104E-03,+0.0E+00
-995.8750E-06,-9.4221105E-03,+64.6984918E-03,+0.0E+00
-995.7500E-06,-9.9246230E-03,+64.1959792E-03,+0.0E+00
-995.6250E-06,-10.8040200E-03,+63.3165822E-03,+0.0E+00
-995.5000E-06,-10.3015074E-03,+62.9396978E-03,+0.0E+00
-995.3750E-06,-9.5477386E-03,+62.8140697E-03,+0.0E+00
-995.2500E-06,-10.3015074E-03,+63.6934667E-03,+0.0E+00
-995.1250E-06,-10.4271356E-03,+65.9547732E-03,+0.0E+00
-995.0000E-06,-9.7989949E-03,+64.3216074E-03,+0.0E+00
-994.8750E-06,-9.9246230E-03,+63.4422104E-03,+0.0E+00
-994.7500E-06,-10.4271356E-03,+62.9396978E-03,+0.0E+00
-994.6250E-06,-9.7989949E-03,+62.9396978E-03,+0.0E+00
-994.5000E-06,-9.0452260E-03,+63.8190948E-03,+0.0E+00
-994.3750E-06,-9.1708542E-03,+63.8190948E-03,+0.0E+00
-994.2500E-06,-9.1708542E-03,+63.1909541E-03,+0.0E+00
-994.1250E-06,-9.0452260E-03,+62.3115571E-03,+0.0E+00
-994.0000E-06,-9.5477386E-03,+62.6884415E-03,+0.0E+00
-993.8750E-06,-9.6733667E-03,+62.1859290E-03,+0.0E+00
-993.7500E-06,-9.2964823E-03,+62.6884415E-03,+0.0E+00
-993.6250E-06,-8.4170853E-03,+63.5678385E-03,+0.0E+00
