Freq.,Vu_out/Vu_in
1.00000000000000e+000,-1.91625967554253e+001,1.59729265651001e+002
1.00230523807790e+000,-1.91242594991892e+001,1.59756717488987e+002
1.00461579027840e+000,-1.90859155892439e+001,1.59784080227276e+002
1.00693166885180e+000,-1.90475650528491e+001,1.59811353897250e+002
1.00925288607668e+000,-1.90092079172010e+001,1.59838538532184e+002
1.01157945425990e+000,-1.89708442093917e+001,1.59865634164487e+002
1.01391138573668e+000,-1.89324739565381e+001,1.59892640827314e+002
1.01624869287070e+000,-1.88940971855384e+001,1.59919558553569e+002
1.01859138805412e+000,-1.88557139233191e+001,1.59946387376479e+002
1.02093948370768e+000,-1.88173241966840e+001,1.59973127329462e+002
1.02329299228075e+000,-1.87789280324357e+001,1.59999778446152e+002
1.02565192625141e+000,-1.87405254571613e+001,1.60026340760455e+002
1.02801629812647e+000,-1.87021164975003e+001,1.60052814306087e+002
1.03038612044162e+000,-1.86637011799805e+001,1.60079199117169e+002
1.03276140576140e+000,-1.86252795310368e+001,1.60105495228117e+002
1.03514216667934e+000,-1.85868515770160e+001,1.60131702673240e+002
1.03752841581801e+000,-1.85484173442799e+001,1.60157821486857e+002
1.03992016582906e+000,-1.85099768589181e+001,1.60183851703865e+002
1.04231742939330e+000,-1.84715301471379e+001,1.60209793358783e+002
1.04472021922080e+000,-1.84330772350569e+001,1.60235646486949e+002
1.04712854805090e+000,-1.83946181486112e+001,1.60261411123164e+002
1.04954242865232e+000,-1.83561529137357e+001,1.60287087302859e+002
1.05196187382322e+000,-1.83176815562736e+001,1.60312675061255e+002
1.05438689639126e+000,-1.82792041019733e+001,1.60338174433778e+002
1.05681750921366e+000,-1.82407205765471e+001,1.60363585456270e+002
1.05925372517729e+000,-1.82022310055828e+001,1.60388908164159e+002
1.06169555719872e+000,-1.81637354146869e+001,1.60414142593407e+002
1.06414301822431e+000,-1.81252338293029e+001,1.60439288780263e+002
1.06659612123026e+000,-1.80867262747657e+001,1.60464346760370e+002
1.06905487922266e+000,-1.80482127765620e+001,1.60489316570135e+002
1.07151930523760e+000,-1.80096933597466e+001,1.60514198245695e+002
1.07398941234124e+000,-1.79711680496396e+001,1.60538991823769e+002
1.07646521362983e+000,-1.79326368713115e+001,1.60563697340552e+002
1.07894672222983e+000,-1.78940998497105e+001,1.60588314832837e+002
1.08143395129794e+000,-1.78555570098899e+001,1.60612844337172e+002
1.08392691402120e+000,-1.78170083767267e+001,1.60637285890594e+002
1.08642562361706e+000,-1.77784539749735e+001,1.60661639529646e+002
1.08893009333343e+000,-1.77398938294573e+001,1.60685905291519e+002
1.09144033644875e+000,-1.77013279647285e+001,1.60710083213274e+002
1.09395636627209e+000,-1.76627564054380e+001,1.60734173332130e+002
1.09647819614318e+000,-1.76241791761766e+001,1.60758175685130e+002
1.09900583943252e+000,-1.75855963013074e+001,1.60782090309700e+002
1.10153930954141e+000,-1.75470078052116e+001,1.60805917243209e+002
1.10407861990207e+000,-1.75084137122168e+001,1.60829656522956e+002
1.10662378397766e+000,-1.74698140465946e+001,1.60853308186663e+002
1.10917481526240e+000,-1.74312088324201e+001,1.60876872272046e+002
1.11173172728159e+000,-1.73925980938440e+001,1.60900348816395e+002
1.11429453359173e+000,-1.73539818548198e+001,1.60923737857491e+002
1.11686324778056e+000,-1.73153601394383e+001,1.60947039433482e+002
1.11943788346715e+000,-1.72767329714446e+001,1.60970253581900e+002
1.12201845430196e+000,-1.72381003746531e+001,1.60993380340734e+002
1.12460497396692e+000,-1.71994623728267e+001,1.61016419747913e+002
1.12719745617551e+000,-1.71608189896563e+001,1.61039371841400e+002
1.12979591467279e+000,-1.71221702487468e+001,1.61062236659386e+002
1.13240036323555e+000,-1.70835161735157e+001,1.61085014239690e+002
1.13501081567231e+000,-1.70448567875090e+001,1.61107704620788e+002
1.13762728582343e+000,-1.70061921141068e+001,1.61130307840700e+002
1.14024978756117e+000,-1.69675221766440e+001,1.61152823937494e+002
1.14287833478977e+000,-1.69288469982852e+001,1.61175252949734e+002
1.14551294144553e+000,-1.68901666021892e+001,1.61197594915284e+002
1.14815362149688e+000,-1.68514810115547e+001,1.61219849872841e+002
1.15080038894443e+000,-1.68127902493833e+001,1.61242017860456e+002
1.15345325782109e+000,-1.67740943386548e+001,1.61264098916715e+002
1.15611224219209e+000,-1.67353933021902e+001,1.61286093079857e+002
1.15877735615512e+000,-1.66966871629279e+001,1.61308000388498e+002
1.16144861384034e+000,-1.66579759435750e+001,1.61329820880896e+002
1.16412602941049e+000,-1.66192596667761e+001,1.61351554595461e+002
1.16680961706096e+000,-1.65805383552608e+001,1.61373201570790e+002
1.16949939101987e+000,-1.65418120315166e+001,1.61394761845403e+002
1.17219536554813e+000,-1.65030807180181e+001,1.61416235457429e+002
1.17489755493953e+000,-1.64643444372323e+001,1.61437622445820e+002
1.17760597352080e+000,-1.64256032114707e+001,1.61458922848639e+002
1.18032063565173e+000,-1.63868570630379e+001,1.61480136704773e+002
1.18304155572516e+000,-1.63481060141690e+001,1.61501264052525e+002
1.18576874816716e+000,-1.63093500869624e+001,1.61522304930256e+002
1.18850222743701e+000,-1.62705893035588e+001,1.61543259376603e+002
1.19124200802737e+000,-1.62318236859821e+001,1.61564127430172e+002
1.19398810446427e+000,-1.61930532561038e+001,1.61584909129258e+002
1.19674053130724e+000,-1.61542780358102e+001,1.61605604512339e+002
1.19949930314937e+000,-1.61154980470804e+001,1.61626213618194e+002
1.20226443461741e+000,-1.60767133114435e+001,1.61646736484584e+002
1.20503594037179e+000,-1.60379238507556e+001,1.61667173150449e+002
1.20781383510677e+000,-1.59991296865578e+001,1.61687523654022e+002
1.21059813355048e+000,-1.59603308404366e+001,1.61707788033829e+002
1.21338885046497e+000,-1.59215273338529e+001,1.61727966328107e+002
1.21618600064636e+000,-1.58827191882239e+001,1.61748058575003e+002
1.21898959892486e+000,-1.58439064249230e+001,1.61768064813122e+002
1.22179966016487e+000,-1.58050890652566e+001,1.61787985080440e+002
1.22461619926504e+000,-1.57662671304428e+001,1.61807819415468e+002
1.22743923115840e+000,-1.57274406416702e+001,1.61827567856373e+002
1.23026877081238e+000,-1.56886096200119e+001,1.61847230441228e+002
1.23310483322890e+000,-1.56497740865035e+001,1.61866807208121e+002
1.23594743344450e+000,-1.56109340621319e+001,1.61886298194892e+002
1.23879658653036e+000,-1.55720895677669e+001,1.61905703440355e+002
1.24165230759240e+000,-1.55332406243406e+001,1.61925022981688e+002
1.24451461177138e+000,-1.54943872525533e+001,1.61944256857196e+002
1.24738351424294e+000,-1.54555294732054e+001,1.61963405104978e+002
1.25025903021771e+000,-1.54166673068635e+001,1.61982467762496e+002
1.25314117494141e+000,-1.53778007741309e+001,1.62001444867789e+002
1.25602996369487e+000,-1.53389298955825e+001,1.62020336458494e+002
1.25892541179416e+000,-1.53000546917088e+001,1.62039142572269e+002
1.26182753459066e+000,-1.52611751828727e+001,1.62057863246873e+002
1.26473634747114e+000,-1.52222913894167e+001,1.62076498519848e+002
1.26765186585784e+000,-1.51834033316351e+001,1.62095048428427e+002
1.27057410520853e+000,-1.51445110297379e+001,1.62113513010394e+002
1.27350308101665e+000,-1.51056145039018e+001,1.62131892302974e+002
1.27643880881134e+000,-1.50667137741722e+001,1.62150186343414e+002
1.27938130415752e+000,-1.50278088606937e+001,1.62168395169221e+002
1.28233058265601e+000,-1.49888997833780e+001,1.62186518817211e+002
1.28528665994361e+000,-1.49499865620885e+001,1.62204557324429e+002
1.28824955169313e+000,-1.49110692167673e+001,1.62222510728259e+002
1.29121927361353e+000,-1.48721477671495e+001,1.62240379065417e+002
1.29419584144998e+000,-1.48332222330703e+001,1.62258162372886e+002
1.29717927098395e+000,-1.47942926340157e+001,1.62275860687034e+002
1.30016957803328e+000,-1.47553589898360e+001,1.62293474044997e+002
1.30316677845229e+000,-1.47164213199059e+001,1.62311002483183e+002
1.30617088813183e+000,-1.46774796437444e+001,1.62328446038117e+002
1.30918192299940e+000,-1.46385339808557e+001,1.62345804746151e+002
1.31219989901920e+000,-1.45995843506215e+001,1.62363078643773e+002
1.31522483219223e+000,-1.45606307723051e+001,1.62380267767104e+002
1.31825673855640e+000,-1.45216732652162e+001,1.62397372152369e+002
1.32129563418657e+000,-1.44827118484589e+001,1.62414391835658e+002
1.32434153519466e+000,-1.44437465413569e+001,1.62431326852634e+002
1.32739445772973e+000,-1.44047773628601e+001,1.62448177239453e+002
1.33045441797808e+000,-1.43658043319882e+001,1.62464943031723e+002
1.33352143216332e+000,-1.43268274677914e+001,1.62481624265328e+002
1.33659551654643e+000,-1.42878467890920e+001,1.62498220975446e+002
1.33967668742593e+000,-1.42488623148985e+001,1.62514733197745e+002
1.34276496113785e+000,-1.42098740638306e+001,1.62531160967400e+002
1.34586035405594e+000,-1.41708820547297e+001,1.62547504319754e+002
1.34896288259164e+000,-1.41318863062739e+001,1.62563763289811e+002
1.35207256319427e+000,-1.40928868371221e+001,1.62579937912767e+002
1.35518941235103e+000,-1.40538836657291e+001,1.62596028223060e+002
1.35831344658714e+000,-1.40148768107995e+001,1.62612034255972e+002
1.36144468246594e+000,-1.39758662906392e+001,1.62627956045981e+002
1.36458313658891e+000,-1.39368521237085e+001,1.62643793627250e+002
1.36772882559584e+000,-1.38978343283472e+001,1.62659547034599e+002
1.37088176616484e+000,-1.38588129229178e+001,1.62675216302261e+002
1.37404197501251e+000,-1.38197879255984e+001,1.62690801464142e+002
1.37720946889394e+000,-1.37807593545324e+001,1.62706302554520e+002
1.38038426460287e+000,-1.37417272280102e+001,1.62721719607126e+002
1.38356637897177e+000,-1.37026915639343e+001,1.62737052655724e+002
1.38675582887188e+000,-1.36636523804518e+001,1.62752301734128e+002
1.38995263121334e+000,-1.36246096954934e+001,1.62767466875599e+002
1.39315680294529e+000,-1.35855635269005e+001,1.62782548113601e+002
1.39636836105593e+000,-1.35465138926313e+001,1.62797545481463e+002
1.39958732257261e+000,-1.35074608105117e+001,1.62812459012231e+002
1.40281370456195e+000,-1.34684042982365e+001,1.62827288738678e+002
1.40604752412990e+000,-1.34293443735109e+001,1.62842034693814e+002
1.40928879842186e+000,-1.33902810540292e+001,1.62856696910336e+002
1.41253754462274e+000,-1.33512143573520e+001,1.62871275420592e+002
1.41579377995707e+000,-1.33121443010766e+001,1.62885770257189e+002
1.41905752168908e+000,-1.32730709026090e+001,1.62900181452139e+002
1.42232878712281e+000,-1.32339941794812e+001,1.62914509037508e+002
1.42560759360218e+000,-1.31949141490442e+001,1.62928753045641e+002
1.42889395851109e+000,-1.31558308286563e+001,1.62942913507737e+002
1.43218789927353e+000,-1.31167442355658e+001,1.62956990455843e+002
1.43548943335364e+000,-1.30776543871214e+001,1.62970983921363e+002
1.43879857825583e+000,-1.30385613003756e+001,1.62984893935494e+002
1.44211535152486e+000,-1.29994649925121e+001,1.62998720529578e+002
1.44543977074592e+000,-1.29603654806011e+001,1.63012463734425e+002
1.44877185354475e+000,-1.29212627817246e+001,1.63026123581039e+002
1.45211161758773e+000,-1.28821569128609e+001,1.63039700100130e+002
1.45545908058195e+000,-1.28430478909037e+001,1.63053193321971e+002
1.45881426027534e+000,-1.28039357328392e+001,1.63066603277216e+002
1.46217717445671e+000,-1.27648204553460e+001,1.63079929995946e+002
1.46554784095590e+000,-1.27257020753499e+001,1.63093173508218e+002
1.46892627764385e+000,-1.26865806095280e+001,1.63106333843770e+002
1.47231250243271e+000,-1.26474560745963e+001,1.63119411032566e+002
1.47570653327588e+000,-1.26083284871957e+001,1.63132405103702e+002
1.47910838816819e+000,-1.25691978639018e+001,1.63145316086930e+002
1.48251808514594e+000,-1.25300642212892e+001,1.63158144011164e+002
1.48593564228699e+000,-1.24909275758537e+001,1.63170888905599e+002
1.48936107771090e+000,-1.24517879440076e+001,1.63183550798952e+002
1.49279440957898e+000,-1.24126453422358e+001,1.63196129719747e+002
1.49623565609442e+000,-1.23734997867520e+001,1.63208625696807e+002
1.49968483550236e+000,-1.23343512940329e+001,1.63221038758002e+002
1.50314196609001e+000,-1.22951998802133e+001,1.63233368931565e+002
1.50660706618673e+000,-1.22560455615274e+001,1.63245616245551e+002
1.51008015416413e+000,-1.22168883542077e+001,1.63257780727742e+002
1.51356124843619e+000,-1.21777282743577e+001,1.63269862405463e+002
1.51705036745932e+000,-1.21385653380477e+001,1.63281861306206e+002
1.52054752973248e+000,-1.20993995613181e+001,1.63293777457046e+002
1.52405275379728e+000,-1.20602309601008e+001,1.63305610885132e+002
1.52756605823806e+000,-1.20210595504016e+001,1.63317361617383e+002
1.53108746168201e+000,-1.19818853480830e+001,1.63329029679839e+002
1.53461698279928e+000,-1.19427083690312e+001,1.63340615099543e+002
1.53815464030302e+000,-1.19035286290276e+001,1.63352117902390e+002
1.54170045294954e+000,-1.18643461438236e+001,1.63363538114463e+002
1.54525443953840e+000,-1.18251609292007e+001,1.63374875761696e+002
1.54881661891247e+000,-1.17859730007139e+001,1.63386130869503e+002
1.55238700995807e+000,-1.17467823740589e+001,1.63397303463481e+002
