Freq.,Vu_out/Vu_in
1.00000000000000e+000,1.27979439644528e+001,1.53388372678295e+002
1.00230523807790e+000,1.28361379344822e+001,1.53339949649157e+002
1.00461579027840e+000,1.28743242757393e+001,1.53291400417874e+002
1.00693166885180e+000,1.29125029547797e+001,1.53242724825350e+002
1.00925288607668e+000,1.29506739380400e+001,1.53193922712445e+002
1.01157945425990e+000,1.29888371918373e+001,1.53144993919973e+002
1.01391138573668e+000,1.30269926823691e+001,1.53095938288709e+002
1.01624869287070e+000,1.30651403757127e+001,1.53046755659389e+002
1.01859138805412e+000,1.31032802378250e+001,1.52997445872714e+002
1.02093948370768e+000,1.31414122345421e+001,1.52948008769352e+002
1.02329299228075e+000,1.31795363315791e+001,1.52898444189943e+002
1.02565192625141e+000,1.32176524945295e+001,1.52848751975098e+002
1.02801629812647e+000,1.32557606888650e+001,1.52798931965407e+002
1.03038612044162e+000,1.32938608799352e+001,1.52748984001436e+002
1.03276140576140e+000,1.33319530329670e+001,1.52698907923735e+002
1.03514216667934e+000,1.33700371130648e+001,1.52648703572839e+002
1.03752841581801e+000,1.34081130852095e+001,1.52598370789269e+002
1.03992016582906e+000,1.34461809142586e+001,1.52547909413540e+002
1.04231742939330e+000,1.34842405649458e+001,1.52497319286159e+002
1.04472021922080e+000,1.35222920018805e+001,1.52446600247628e+002
1.04712854805090e+000,1.35603351895475e+001,1.52395752138453e+002
1.04954242865232e+000,1.35983700923068e+001,1.52344774799140e+002
1.05196187382322e+000,1.36363966743931e+001,1.52293668070202e+002
1.05438689639126e+000,1.36744148999156e+001,1.52242431792161e+002
1.05681750921366e+000,1.37124247328576e+001,1.52191065805552e+002
1.05925372517729e+000,1.37504261370759e+001,1.52139569950924e+002
1.06169555719872e+000,1.37884190763011e+001,1.52087944068846e+002
1.06414301822431e+000,1.38264035141367e+001,1.52036187999907e+002
1.06659612123026e+000,1.38643794140589e+001,1.51984301584722e+002
1.06905487922266e+000,1.39023467394164e+001,1.51932284663935e+002
1.07151930523760e+000,1.39403054534298e+001,1.51880137078218e+002
1.07398941234124e+000,1.39782555191917e+001,1.51827858668282e+002
1.07646521362983e+000,1.40161968996660e+001,1.51775449274873e+002
1.07894672222983e+000,1.40541295576876e+001,1.51722908738778e+002
1.08143395129794e+000,1.40920534559622e+001,1.51670236900830e+002
1.08392691402120e+000,1.41299685570660e+001,1.51617433601908e+002
1.08642562361706e+000,1.41678748234452e+001,1.51564498682944e+002
1.08893009333343e+000,1.42057722174156e+001,1.51511431984922e+002
1.09144033644875e+000,1.42436607011629e+001,1.51458233348887e+002
1.09395636627209e+000,1.42815402367413e+001,1.51404902615942e+002
1.09647819614318e+000,1.43194107860743e+001,1.51351439627257e+002
1.09900583943252e+000,1.43572723109535e+001,1.51297844224068e+002
1.10153930954141e+000,1.43951247730388e+001,1.51244116247686e+002
1.10407861990207e+000,1.44329681338579e+001,1.51190255539494e+002
1.10662378397766e+000,1.44708023548059e+001,1.51136261940953e+002
1.10917481526240e+000,1.45086273971451e+001,1.51082135293610e+002
1.11173172728159e+000,1.45464432220047e+001,1.51027875439094e+002
1.11429453359173e+000,1.45842497903803e+001,1.50973482219124e+002
1.11686324778056e+000,1.46220470631338e+001,1.50918955475514e+002
1.11943788346715e+000,1.46598350009929e+001,1.50864295050171e+002
1.12201845430196e+000,1.46976135645510e+001,1.50809500785105e+002
1.12460497396692e+000,1.47353827142665e+001,1.50754572522428e+002
1.12719745617551e+000,1.47731424104631e+001,1.50699510104360e+002
1.12979591467279e+000,1.48108926133289e+001,1.50644313373231e+002
1.13240036323555e+000,1.48486332829162e+001,1.50588982171489e+002
1.13501081567231e+000,1.48863643791416e+001,1.50533516341696e+002
1.13762728582343e+000,1.49240858617851e+001,1.50477915726540e+002
1.14024978756117e+000,1.49617976904904e+001,1.50422180168833e+002
1.14287833478977e+000,1.49994998247639e+001,1.50366309511518e+002
1.14551294144553e+000,1.50371922239751e+001,1.50310303597671e+002
1.14815362149688e+000,1.50748748473558e+001,1.50254162270505e+002
1.15080038894443e+000,1.51125476539999e+001,1.50197885373377e+002
1.15345325782109e+000,1.51502106028635e+001,1.50141472749785e+002
1.15611224219209e+000,1.51878636527638e+001,1.50084924243381e+002
1.15877735615512e+000,1.52255067623795e+001,1.50028239697966e+002
1.16144861384034e+000,1.52631398902504e+001,1.49971418957501e+002
1.16412602941049e+000,1.53007629947766e+001,1.49914461866107e+002
1.16680961706096e+000,1.53383760342189e+001,1.49857368268068e+002
1.16949939101987e+000,1.53759789666981e+001,1.49800138007841e+002
1.17219536554813e+000,1.54135717501946e+001,1.49742770930054e+002
