Freq.	Vn002/Vn003(dB, phi)
1.00000000000000e-003	5.32552886474315e-001	8.91955916484791e+001
1.00230523807790e-003	5.52548975716517e-001	8.91937375365312e+001
1.00461579027840e-003	5.72545046880387e-001	8.91918791520023e+001
1.00693166885180e-003	5.92541099956435e-001	8.91900164851596e+001
1.00925288607668e-003	6.12537134803774e-001	8.91881495261758e+001
1.01157945425990e-003	6.32533151295677e-001	8.91862782650984e+001
1.01391138573668e-003	6.52529149499053e-001	8.91844026919835e+001
1.01624869287070e-003	6.72525129191652e-001	8.91825227969976e+001
1.01859138805412e-003	6.92521090320190e-001	8.91806385700993e+001
1.02093948370768e-003	7.12517032806200e-001	8.91787500014090e+001
1.02329299228075e-003	7.32512956594042e-001	8.91768570808478e+001
1.02565192625141e-003	7.52508861554477e-001	8.91749597984391e+001
1.02801629812647e-003	7.72504747556493e-001	8.91730581441300e+001
1.03038612044162e-003	7.92500614703194e-001	8.91711521078729e+001
1.03276140576140e-003	8.12496462691335e-001	8.91692416795622e+001
1.03514216667934e-003	8.32492291522013e-001	8.91673268490477e+001
1.03752841581801e-003	8.52488101120425e-001	8.91654076062458e+001
1.03992016582906e-003	8.72483891359835e-001	8.91634839410471e+001
1.04231742939330e-003	8.92479662202334e-001	8.91615558431197e+001
1.04472021922080e-003	9.12475413556483e-001	8.91596233023412e+001
1.04712854805090e-003	9.32471145231256e-001	8.91576863085470e+001
1.04954242865232e-003	9.52466857215601e-001	8.91557448514338e+001
1.05196187382322e-003	9.72462549443885e-001	8.91537989206639e+001
1.05438689639126e-003	9.92458221818846e-001	8.91518485060057e+001
1.05681750921366e-003	1.01245387418880e+000	8.91498935970702e+001
1.05925372517729e-003	1.03244950643927e+000	8.91479341836311e+001
1.06169555719872e-003	1.05244511865338e+000	8.91459702552660e+001
1.06414301822431e-003	1.07244071053604e+000	8.91440018015050e+001
1.06659612123026e-003	1.09243628210304e+000	8.91420288120480e+001
1.06905487922266e-003	1.11243183322179e+000	8.91400512762891e+001
1.07151930523760e-003	1.13242736383883e+000	8.91380691839127e+001
1.07398941234124e-003	1.15242287375239e+000	8.91360825243960e+001
1.07646521362983e-003	1.17241836304340e+000	8.91340912872195e+001
1.07894672222983e-003	1.19241383143923e+000	8.91320954617969e+001
1.08143395129794e-003	1.21240927899318e+000	8.91300950376122e+001
1.08392691402120e-003	1.23240470547333e+000	8.91280900040424e+001
1.08642562361706e-003	1.25240011090348e+000	8.91260803505543e+001
1.08893009333343e-003	1.27239549511236e+000	8.91240660664206e+001
1.09144033644875e-003	1.29239085804743e+000	8.91220471410975e+001
1.09395636627209e-003	1.31238619952866e+000	8.91200235637613e+001
1.09647819614318e-003	1.33238151953756e+000	8.91179953238088e+001
1.09900583943252e-003	1.35237681797160e+000	8.91159624104537e+001
1.10153930954141e-003	1.37237209462200e+000	8.91139248129447e+001
1.10407861990207e-003	1.39236734954999e+000	8.91118825205154e+001
1.10662378397766e-003	1.41236258257660e+000	8.91098355222769e+001
1.10917481526240e-003	1.43235779359204e+000	8.91077838075245e+001
1.11173172728159e-003	1.45235298248941e+000	8.91057273653364e+001
1.11429453359173e-003	1.47234814920737e+000	8.91036661847807e+001
1.11686324778056e-003	1.49234329366348e+000	8.91016002550374e+001
1.11943788346715e-003	1.51233841568893e+000	8.90995295651864e+001
1.12201845430196e-003	1.53233351513761e+000	8.90974541042112e+001
1.12460497396692e-003	1.55232859203694e+000	8.90953738610948e+001
1.12719745617551e-003	1.57232364623901e+000	8.90932888249503e+001
1.12979591467279e-003	1.59231867753064e+000	8.90911989846378e+001
1.13240036323555e-003	1.61231368595590e+000	8.90891043291304e+001
1.13501081567231e-003	1.63230867136179e+000	8.90870048473844e+001
1.13762728582343e-003	1.65230363359304e+000	8.90849005282077e+001
1.14024978756117e-003	1.67229857255521e+000	8.90827913605747e+001
1.14287833478977e-003	1.69229348821429e+000	8.90806773331744e+001
1.14551294144553e-003	1.71228838038155e+000	8.90785584349833e+001
1.14815362149688e-003	1.73228324901306e+000	8.90764346547387e+001
1.15080038894443e-003	1.75227809393185e+000	8.90743059810786e+001
1.15345325782109e-003	1.77227291508164e+000	8.90721724029926e+001
1.15611224219209e-003	1.79226771231584e+000	8.90700339089037e+001
1.15877735615512e-003	1.81226248552228e+000	8.90678904876959e+001
1.16144861384034e-003	1.83225723464477e+000	8.90657421279622e+001
1.16412602941049e-003	1.85225195953457e+000	8.90635888183657e+001
1.16680961706096e-003	1.87224666007661e+000	8.90614305475029e+001
1.16949939101987e-003	1.89224133610518e+000	8.90592673038821e+001
1.17219536554813e-003	1.91223598767396e+000	8.90570990761596e+001
1.17489755493952e-003	1.93223061447237e+000	8.90549258528803e+001
1.17760597352080e-003	1.95222521653348e+000	8.90527476223415e+001
1.18032063565172e-003	1.97221979364969e+000	8.90505643733142e+001
1.18304155572516e-003	1.99221434576850e+000	8.90483760940624e+001
1.18576874816716e-003	2.01220887276271e+000	8.90461827730109e+001
1.18850222743701e-003	2.03220337445149e+000	8.90439843985995e+001
1.19124200802737e-003	2.05219785078487e+000	8.90417809592035e+001
1.19398810446427e-003	2.07219230163751e+000	8.90395724431398e+001
1.19674053130724e-003	2.09218672689012e+000	8.90373588388564e+001
1.19949930314937e-003	2.11218112640963e+000	8.90351401343904e+001
1.20226443461741e-003	2.13217550008758e+000	8.90329163182532e+001
1.20503594037179e-003	2.15216984780089e+000	8.90306873784446e+001
1.20781383510677e-003	2.17216416944983e+000	8.90284533034129e+001
1.21059813355048e-003	2.19215846485845e+000	8.90262140811421e+001
1.21338885046497e-003	2.21215273395411e+000	8.90239696999619e+001
1.21618600064636e-003	2.23214697664697e+000	8.90217201478156e+001
1.21898959892486e-003	2.25214119268822e+000	8.90194654129397e+001
1.22179966016487e-003	2.27213538211159e+000	8.90172054833108e+001
1.22461619926504e-003	2.29212954471098e+000	8.90149403470833e+001
1.22743923115840e-003	2.31212368036119e+000	8.90126699922718e+001
1.23026877081238e-003	2.33211778893725e+000	8.90103944067164e+001
1.23310483322890e-003	2.35211187037233e+000	8.90081135784997e+001
1.23594743344450e-003	2.37210592447981e+000	8.90058274955717e+001
1.23879658653036e-003	2.39209995111141e+000	8.90035361458202e+001
1.24165230759240e-003	2.41209395023475e+000	8.90012395170803e+001
1.24451461177138e-003	2.43208792159818e+000	8.89989375972632e+001
1.24738351424294e-003	2.45208186520249e+000	8.89966303740706e+001
1.25025903021771e-003	2.47207578088688e+000	8.89943178354731e+001
1.25314117494141e-003	2.49206966840941e+000	8.89919999691507e+001
1.25602996369487e-003	2.51206352779591e+000	8.89896767628712e+001
1.25892541179416e-003	2.53205735879454e+000	8.89873482043014e+001
1.26182753459066e-003	2.55205116138055e+000	8.89850142811624e+001
1.26473634747114e-003	2.57204493530983e+000	8.89826749811476e+001
1.26765186585784e-003	2.59203868056365e+000	8.89803302917976e+001
1.27057410520853e-003	2.61203239696104e+000	8.89779802007815e+001
1.27350308101665e-003	2.63202608435232e+000	8.89756246956081e+001
1.27643880881134e-003	2.65201974257930e+000	8.89732637639079e+001
1.27938130415752e-003	2.67201337157080e+000	8.89708973931596e+001
1.28233058265601e-003	2.69200697115089e+000	8.89685255707174e+001
1.28528665994361e-003	2.71200054119048e+000	8.89661482842251e+001
1.28824955169313e-003	2.73199408156952e+000	8.89637655210590e+001
1.29121927361353e-003	2.75198759213812e+000	8.89613772685876e+001
1.29419584144998e-003	2.77198107279179e+000	8.89589835141336e+001
1.29717927098395e-003	2.79197452333841e+000	8.89565842451530e+001
1.30016957803328e-003	2.81196794364947e+000	8.89541794489087e+001
1.30316677845229e-003	2.83196133363969e+000	8.89517691126591e+001
1.30617088813183e-003	2.85195469311653e+000	8.89493532236982e+001
1.30918192299940e-003	2.87194802191164e+000	8.89469317692272e+001
1.31219989901919e-003	2.89194132002852e+000	8.89445047363981e+001
1.31522483219223e-003	2.91193458712060e+000	8.89420721124858e+001
1.31825673855640e-003	2.93192782318001e+000	8.89396338844833e+001
1.32129563418657e-003	2.95192102799662e+000	8.89371900396888e+001
1.32434153519466e-003	2.97191420154817e+000	8.89347405650146e+001
1.32739445772973e-003	2.99190734351852e+000	8.89322854475717e+001
1.33045441797808e-003	3.01190045385113e+000	8.89298246743428e+001
1.33352143216331e-003	3.03189353239758e+000	8.89273582324342e+001
1.33659551654643e-003	3.05188657902856e+000	8.89248861086231e+001
1.33967668742593e-003	3.07187959354082e+000	8.89224082899367e+001
1.34276496113785e-003	3.09187257587607e+000	8.89199247633352e+001
1.34586035405594e-003	3.11186552577496e+000	8.89174355155902e+001
1.34896288259164e-003	3.13185844317572e+000	8.89149405335837e+001
1.35207256319427e-003	3.15185132792334e+000	8.89124398041255e+001
1.35518941235103e-003	3.17184417977001e+000	8.89099333139715e+001
1.35831344658714e-003	3.19183699871652e+000	8.89074210499305e+001
1.36144468246594e-003	3.21182978445429e+000	8.89049029985977e+001
1.36458313658891e-003	3.23182253692149e+000	8.89023791467283e+001
1.36772882559584e-003	3.25181525596119e+000	8.88998494810953e+001
1.37088176616484e-003	3.27180794139411e+000	8.88973139881045e+001
1.37404197501250e-003	3.29180059308760e+000	8.88947726545081e+001
1.37720946889394e-003	3.31179321088493e+000	8.88922254669032e+001
1.38038426460287e-003	3.33178579460522e+000	8.88896724116694e+001
1.38356637897177e-003	3.35177834411267e+000	8.88871134753912e+001
1.38675582887188e-003	3.37177085922837e+000	8.88845486445522e+001
1.38995263121334e-003	3.39176333985280e+000	8.88819779056188e+001
1.39315680294529e-003	3.41175578573721e+000	8.88794012449435e+001
1.39636836105593e-003	3.43174819678115e+000	8.88768186489276e+001
1.39958732257261e-003	3.45174057280404e+000	8.88742301039583e+001
1.40281370456195e-003	3.47173291365019e+000	8.88716355962291e+001
1.40604752412990e-003	3.49172521916950e+000	8.88690351122439e+001
1.40928879842186e-003	3.51171748918412e+000	8.88664286380376e+001
1.41253754462274e-003	3.53170972355550e+000	8.88638161599410e+001
1.41579377995707e-003	3.55170192201209e+000	8.88611976641669e+001
1.41905752168908e-003	3.57169408458010e+000	8.88585731367990e+001
1.42232878712281e-003	3.59168621092744e+000	8.88559425640138e+001
1.42560759360218e-003	3.61167830091519e+000	8.88533059318735e+001
1.42889395851109e-003	3.63167035444088e+000	8.88506632265196e+001
1.43218789927353e-003	3.65166237133587e+000	8.88480144339340e+001
1.43548943335364e-003	3.67165435134839e+000	8.88453595400522e+001
